,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,"[1, 1, 0.6283185307179586, 3.141592653589793, 21, 0.007462686567164179, 0.014814814814814815, 0.007407407407407408]","[0, 1, 0.3394819509665946, 1.0471975511965976, 23, 0.02158273381294964, 0.0, 0.007042253521126761]","[0, 0, 0.3394819509665946, 0.5658032516109911, 11, 0.0625, 0.014705882352941176, 0.0]","[0, 0, 0.3394819509665946, 0.43578794817037836, 20, 0.019417475728155338, 0.01904761904761905, 0.0]","[0, 1, 0.26147276890222704, 0.5235987755982988, 13, 0.014492753623188406, 0.05714285714285714, 0.0]","[0, 0, 0.26147276890222704, 0.28290162580549555, 10, 0.017543859649122806, 0.0, 0.0]","[0, 0, 0.26147276890222704, 0.21789397408518918, 17, 0.029411764705882353, 0.0, 0.01904761904761905]","[0, 0, 0.26147276890222704, 0.5183588590714963, 20, 0.022556390977443608, 0.0, 0.0]","[0, 0, 0.26147276890222704, 0.34224699956182586, 27, 0.005747126436781609, 0.005714285714285714, 0.0]","[0, 0, 0.26147276890222704, 0.14852517299208282, 24, 0.0, 0.027210884353741496, 0.013605442176870748]","[0, 1, 0.6220306308857955, 0.6283185307179586, 11, 0.036585365853658534, 0.011764705882352941, 0.0]","[0, 0, 0.6220306308857955, 0.3394819509665946, 37, 0.004629629629629629, 0.013824884792626729, 0.0]","[0, 0, 0.6220306308857955, 0.26147276890222704, 21, 0.007874015748031496, 0.0078125, 0.0078125]","[0, 0, 0.6220306308857955, 0.6220306308857955, 25, 0.005555555555555556, 0.011049723756906077, 0.0]","[0, 0, 0.6220306308857955, 0.41069639947419107, 20, 0.007692307692307693, 0.007633587786259542, 0.0]","[0, 1, 0.41069639947419107, 0.6283185307179586, 20, 0.0, 0.02702702702702703, 0.0]","[0, 0, 0.41069639947419107, 0.3394819509665946, 20, 0.0, 0.010416666666666666, 0.0]","[0, 0, 0.41069639947419107, 0.26147276890222704, 24, 0.0078125, 0.0, 0.0]","[0, 0, 0.41069639947419107, 0.6220306308857955, 30, 0.0, 0.005780346820809248, 0.0]","[0, 0, 0.41069639947419107, 0.41069639947419107, 21, 0.0, 0.02247191011235955, 0.0]"
1,"[1, 1, 1.0471975511965976, 3.141592653589793, 28, 0.02, 0.0196078431372549, 0.006535947712418301]","[0, 1, 0.5658032516109911, 0.5235987755982988, 23, 0.0, 0.02040816326530612, 0.0]","[0, 0, 0.5658032516109911, 0.28290162580549555, 17, 0.010309278350515464, 0.02040816326530612, 0.0]","[0, 0, 0.5658032516109911, 0.21789397408518918, 12, 0.043478260869565216, 0.013888888888888888, 0.0]","[0, 0, 0.5658032516109911, 0.5183588590714963, 35, 0.004739336492890996, 0.02830188679245283, 0.0]","[0, 0, 0.5658032516109911, 0.34224699956182586, 35, 0.020833333333333332, 0.025510204081632654, 0.0]","[0, 0, 0.5658032516109911, 0.14852517299208282, 23, 0.022900763358778626, 0.0, 0.0]","[0, 0, 0.5658032516109911, 0.5027439864559993, 1, 0.0, 0.0, 0.0]","[0, 1, 0.43578794817037836, 0.39269908169872414, 10, 0.015384615384615385, 0.015151515151515152, 0.0]","[0, 0, 0.43578794817037836, 0.21217621935412165, 24, 0.026143790849673203, 0.006369426751592357, 0.0]","[0, 0, 0.43578794817037836, 0.16342048056389188, 32, 0.0058823529411764705, 0.0, 0.0]","[0, 0, 0.43578794817037836, 0.3887691443036222, 14, 0.0, 0.011494252873563218, 0.0]","[0, 0, 0.43578794817037836, 0.2566852496713694, 39, 0.0049504950495049506, 0.014778325123152709, 0.0049261083743842365]","[0, 0, 0.43578794817037836, 0.11139387974406212, 22, 0.0078125, 0.007751937984496124, 0.0]","[0, 0, 0.43578794817037836, 0.37705798984199945, 41, 0.013888888888888888, 0.0045662100456621, 0.0]","[0, 0, 0.43578794817037836, 0.29605672297121366, 24, 0.007142857142857143, 0.014184397163120567, 0.0070921985815602835]",,,,
2,"[1, 1, 1.0471975511965976, 3.141592653589793, 25, 0.023255813953488372, 0.007575757575757576, 0.0]","[0, 1, 0.5658032516109911, 0.5235987755982988, 23, 0.015625, 0.03076923076923077, 0.0]","[0, 0, 0.5658032516109911, 0.28290162580549555, 20, 0.019230769230769232, 0.03773584905660377, 0.0]","[0, 0, 0.5658032516109911, 0.21789397408518918, 11, 0.0, 0.0136986301369863, 0.0]","[0, 0, 0.5658032516109911, 0.5183588590714963, 11, 0.01282051282051282, 0.012658227848101266, 0.0]","[0, 0, 0.5658032516109911, 0.34224699956182586, 36, 0.009950248756218905, 0.014778325123152709, 0.0]","[0, 0, 0.5658032516109911, 0.14852517299208282, 32, 0.0, 0.020100502512562814, 0.0]","[0, 0, 0.5658032516109911, 0.5027439864559993, 1, 0.0, 0.0, 0.0]","[0, 1, 0.43578794817037836, 0.6283185307179586, 6, 0.0, 0.021739130434782608, 0.0]","[0, 0, 0.43578794817037836, 0.3394819509665946, 24, 0.008, 0.015873015873015872, 0.0]","[0, 0, 0.43578794817037836, 0.26147276890222704, 23, 0.01652892561983471, 0.016260162601626018, 0.0]","[0, 0, 0.43578794817037836, 0.6220306308857955, 22, 0.008403361344537815, 0.025, 0.0]","[0, 0, 0.43578794817037836, 0.41069639947419107, 25, 0.006578947368421052, 0.0196078431372549, 0.0]",,,,,,,
3,"[1, 1, 0.6283185307179586, 3.141592653589793, 13, 0.014705882352941176, 0.014492753623188406, 0.0]","[0, 1, 0.3394819509665946, 1.0471975511965976, 26, 0.013513513513513514, 0.013333333333333334, 0.013333333333333334]","[0, 0, 0.3394819509665946, 0.5658032516109911, 22, 0.031496062992125984, 0.015267175572519083, 0.0]","[0, 0, 0.3394819509665946, 0.43578794817037836, 18, 0.02857142857142857, 0.0, 0.0]","[0, 1, 0.26147276890222704, 3.141592653589793, 18, 0.018867924528301886, 0.009259259259259259, 0.0]","[0, 1, 0.6220306308857955, 0.4487989505128276, 26, 0.0, 0.0, 0.0]","[0, 0, 0.6220306308857955, 0.2424871078332819, 33, 0.015, 0.024630541871921183, 0.0]","[0, 0, 0.6220306308857955, 0.18676626350159073, 17, 0.021052631578947368, 0.0, 0.0]","[0, 0, 0.6220306308857955, 0.44430759348985394, 38, 0.014018691588785047, 0.009216589861751152, 0.0]","[0, 0, 0.6220306308857955, 0.2933545710529936, 10, 0.03278688524590164, 0.0, 0.0]","[0, 0, 0.6220306308857955, 0.127307291136071, 28, 0.023529411764705882, 0.022988505747126436, 0.0]","[0, 0, 0.6220306308857955, 0.4309234169622851, 12, 0.03278688524590164, 0.015873015873015872, 0.0]","[0, 1, 0.41069639947419107, 0.5235987755982988, 12, 0.0, 0.02857142857142857, 0.0]","[0, 0, 0.41069639947419107, 0.28290162580549555, 17, 0.009345794392523364, 0.05555555555555555, 0.0]","[0, 0, 0.41069639947419107, 0.21789397408518918, 35, 0.020833333333333332, 0.0, 0.0]","[0, 0, 0.41069639947419107, 0.5183588590714963, 22, 0.0, 0.025423728813559324, 0.025423728813559324]","[0, 0, 0.41069639947419107, 0.34224699956182586, 19, 0.016666666666666666, 0.01639344262295082, 0.0]","[0, 0, 0.41069639947419107, 0.14852517299208282, 25, 0.0, 0.028169014084507043, 0.007042253521126761]","[0, 0, 0.41069639947419107, 0.5027439864559993, 10, 0.0, 0.0, 0.04081632653061224]",
4,"[1, 1, 1.0471975511965976, 3.141592653589793, 26, 0.021739130434782608, 0.03546099290780142, 0.0]","[0, 1, 0.5658032516109911, 1.0471975511965976, 27, 0.006578947368421052, 0.032679738562091505, 0.0]","[0, 0, 0.5658032516109911, 0.5658032516109911, 17, 0.02197802197802198, 0.053763440860215055, 0.010752688172043012]","[0, 0, 0.5658032516109911, 0.43578794817037836, 12, 0.0, 0.013333333333333334, 0.0]","[0, 1, 0.43578794817037836, 0.39269908169872414, 26, 0.007246376811594203, 0.014388489208633094, 0.007194244604316547]","[0, 0, 0.43578794817037836, 0.21217621935412165, 11, 0.0, 0.030303030303030304, 0.0]","[0, 0, 0.43578794817037836, 0.16342048056389188, 28, 0.00625, 0.018633540372670808, 0.012422360248447204]","[0, 0, 0.43578794817037836, 0.3887691443036222, 21, 0.016666666666666666, 0.01639344262295082, 0.00819672131147541]","[0, 0, 0.43578794817037836, 0.2566852496713694, 17, 0.0, 0.06930693069306931, 0.0]","[0, 0, 0.43578794817037836, 0.11139387974406212, 29, 0.010638297872340425, 0.031578947368421054, 0.0]","[0, 0, 0.43578794817037836, 0.37705798984199945, 19, 0.0, 0.008771929824561403, 0.008771929824561403]","[0, 0, 0.43578794817037836, 0.29605672297121366, 27, 0.0, 0.01948051948051948, 0.006493506493506494]",,,,,,,,
5,"[1, 1, 1.0471975511965976, 3.141592653589793, 18, 0.0380952380952381, 0.0, 0.009174311926605505]","[0, 1, 0.5658032516109911, 1.0471975511965976, 16, 0.03, 0.0, 0.0]","[0, 0, 0.5658032516109911, 0.5658032516109911, 23, 0.03731343283582089, 0.0, 0.0]","[0, 0, 0.5658032516109911, 0.43578794817037836, 14, 0.034482758620689655, 0.0, 0.011111111111111112]","[0, 1, 0.43578794817037836, 0.5235987755982988, 13, 0.0136986301369863, 0.0, 0.0]","[0, 0, 0.43578794817037836, 0.28290162580549555, 28, 0.011299435028248588, 0.0111731843575419, 0.0]","[0, 0, 0.43578794817037836, 0.21789397408518918, 23, 0.0, 0.0, 0.0]","[0, 0, 0.43578794817037836, 0.5183588590714963, 7, 0.0, 0.0, 0.0]","[0, 0, 0.43578794817037836, 0.34224699956182586, 14, 0.010638297872340425, 0.031578947368421054, 0.0]","[0, 0, 0.43578794817037836, 0.14852517299208282, 24, 0.006944444444444444, 0.0, 0.0]",,,,,,,,,,
6,"[1, 1, 0.7853981633974483, 3.141592653589793, 25, 0.014492753623188406, 0.007142857142857143, 0.007142857142857143]","[0, 1, 0.4243524387082433, 0.4487989505128276, 13, 0.012345679012345678, 0.04878048780487805, 0.012195121951219513]","[0, 0, 0.4243524387082433, 0.2424871078332819, 13, 0.025974025974025976, 0.0, 0.012658227848101266]","[0, 0, 0.4243524387082433, 0.18676626350159073, 18, 0.009345794392523364, 0.009259259259259259, 0.009259259259259259]","[0, 0, 0.4243524387082433, 0.44430759348985394, 32, 0.02702702702702703, 0.019736842105263157, 0.0]","[0, 0, 0.4243524387082433, 0.2933545710529936, 24, 0.015503875968992248, 0.030534351145038167, 0.0]","[0, 0, 0.4243524387082433, 0.127307291136071, 13, 0.014925373134328358, 0.0, 0.0]","[0, 0, 0.4243524387082433, 0.4309234169622851, 17, 0.01639344262295082, 0.008064516129032258, 0.0]","[0, 1, 0.32684096112778377, 3.141592653589793, 19, 0.01904761904761905, 0.028037383177570093, 0.018691588785046728]","[0, 1, 0.7775382886072444, 0.7853981633974483, 20, 0.03571428571428571, 0.0, 0.0]","[0, 0, 0.7775382886072444, 0.4243524387082433, 22, 0.0072992700729927005, 0.028985507246376812, 0.0]","[0, 0, 0.7775382886072444, 0.32684096112778377, 28, 0.006493506493506494, 0.0, 0.0]","[0, 0, 0.7775382886072444, 0.7775382886072444, 22, 0.023076923076923078, 0.022556390977443608, 0.0]","[0, 0, 0.7775382886072444, 0.5133704993427388, 12, 0.014285714285714285, 0.0, 0.0]","[0, 0, 0.7775382886072444, 0.22278775948812424, 1, 0.0, 0.0, 0.0]",,,,,
7,"[1, 1, 1.0471975511965976, 3.141592653589793, 22, 0.015267175572519083, 0.007518796992481203, 0.007518796992481203]","[0, 1, 0.5658032516109911, 1.0471975511965976, 22, 0.015384615384615385, 0.022727272727272728, 0.0]","[0, 0, 0.5658032516109911, 0.5658032516109911, 17, 0.009900990099009901, 0.00980392156862745, 0.0]","[0, 0, 0.5658032516109911, 0.43578794817037836, 15, 0.0, 0.05333333333333334, 0.0]","[0, 1, 0.43578794817037836, 0.3141592653589793, 27, 0.010416666666666666, 0.010309278350515464, 0.0]","[0, 0, 0.43578794817037836, 0.1697409754832973, 14, 0.0, 0.0, 0.0]","[0, 0, 0.43578794817037836, 0.13073638445111352, 25, 0.007407407407407408, 0.029411764705882353, 0.007352941176470588]","[0, 0, 0.43578794817037836, 0.31101531544289773, 34, 0.01485148514851485, 0.014634146341463415, 0.0]","[0, 0, 0.43578794817037836, 0.20534819973709553, 19, 0.008547008547008548, 0.0, 0.00847457627118644]","[0, 0, 0.43578794817037836, 0.0891151037952497, 27, 0.006666666666666667, 0.039735099337748346, 0.0]","[0, 0, 0.43578794817037836, 0.30164639187359954, 29, 0.006024096385542169, 0.011976047904191617, 0.0]","[0, 0, 0.43578794817037836, 0.23684537837697092, 9, 0.018867924528301886, 0.0, 0.0]","[0, 0, 0.43578794817037836, 0.04571018373102068, 11, 0.0, 0.034482758620689655, 0.0]","[0, 0, 0.43578794817037836, 0.28624001372002456, 33, 0.0, 0.015789473684210527, 0.005263157894736842]","[0, 0, 0.43578794817037836, 0.26360209515829375, 12, 0.0, 0.017241379310344827, 0.0]",,,,,
8,"[1, 1, 0.7853981633974483, 3.141592653589793, 28, 0.03496503496503497, 0.006756756756756757, 0.02702702702702703]","[0, 1, 0.4243524387082433, 1.0471975511965976, 23, 0.013605442176870748, 0.040268456375838924, 0.013422818791946308]","[0, 0, 0.4243524387082433, 0.5658032516109911, 15, 0.0, 0.0, 0.0]","[0, 0, 0.4243524387082433, 0.43578794817037836, 9, 0.028169014084507043, 0.0, 0.0273972602739726]","[0, 1, 0.32684096112778377, 1.5707963267948966, 12, 0.039473684210526314, 0.0, 0.02531645569620253]","[0, 0, 0.32684096112778377, 0.8487048774164866, 34, 0.013953488372093023, 0.0, 0.009174311926605505]","[0, 1, 0.7775382886072444, 0.5235987755982988, 14, 0.011494252873563218, 0.0, 0.0]","[0, 0, 0.7775382886072444, 0.28290162580549555, 17, 0.042105263157894736, 0.0, 0.030303030303030304]","[0, 0, 0.7775382886072444, 0.21789397408518918, 14, 0.02127659574468085, 0.03125, 0.0]","[0, 0, 0.7775382886072444, 0.5183588590714963, 34, 0.009174311926605505, 0.022727272727272728, 0.0]","[0, 0, 0.7775382886072444, 0.34224699956182586, 14, 0.0, 0.010309278350515464, 0.0]","[0, 0, 0.7775382886072444, 0.14852517299208282, 10, 0.014925373134328358, 0.0, 0.0]",,,,,,,,
9,"[1, 1, 1.0471975511965976, 3.141592653589793, 25, 0.035211267605633804, 0.006802721088435374, 0.0]","[0, 1, 0.5658032516109911, 0.7853981633974483, 20, 0.0, 0.00909090909090909, 0.00909090909090909]","[0, 0, 0.5658032516109911, 0.4243524387082433, 16, 0.030612244897959183, 0.009900990099009901, 0.0]","[0, 0, 0.5658032516109911, 0.32684096112778377, 17, 0.0, 0.06956521739130435, 0.0]","[0, 0, 0.5658032516109911, 0.7775382886072444, 33, 0.01702127659574468, 0.0, 0.0]","[0, 1, 0.43578794817037836, 0.6283185307179586, 24, 0.00641025641025641, 0.0, 0.006369426751592357]","[0, 0, 0.43578794817037836, 0.3394819509665946, 30, 0.017142857142857144, 0.033707865168539325, 0.0]","[0, 0, 0.43578794817037836, 0.26147276890222704, 15, 0.031578947368421054, 0.0, 0.0]","[0, 0, 0.43578794817037836, 0.6220306308857955, 23, 0.0, 0.0, 0.015267175572519083]","[0, 0, 0.43578794817037836, 0.41069639947419107, 19, 0.017543859649122806, 0.017241379310344827, 0.0]",,,,,,,,,,
